 Lambda  Total   sCH2/H2  CH3/H    CH2/H/H  CH4+     CH3+H    CH2+H2   CH+H2/H  H+CH3    CH/H2/H 
  718.5 4.20E-17 0.00E+00 0.00E+00 0.00E+00 1.99E-17 2.08E-17 1.30E-18 0.00E+00 0.00E+00 4.66E-33
  746.4 4.14E-17 0.00E+00 0.00E+00 0.00E+00 1.97E-17 2.05E-17 1.19E-18 0.00E+00 0.00E+00 0.00E+00
  764.0 4.77E-17 0.00E+00 0.00E+00 0.00E+00 2.28E-17 2.35E-17 1.34E-18 0.00E+00 0.00E+00 0.00E+00
  769.3 4.30E-17 0.00E+00 0.00E+00 0.00E+00 2.06E-17 2.12E-17 1.20E-18 0.00E+00 0.00E+00 0.00E+00
  773.0 4.62E-17 3.18E-19 6.28E-20 9.24E-20 2.19E-17 2.25E-17 1.28E-18 0.00E+00 0.00E+00 2.31E-21
  796.7 4.74E-17 2.58E-18 4.47E-19 3.79E-19 2.21E-17 2.10E-17 5.97E-19 0.00E+00 0.00E+00 3.54E-19
  806.0 4.70E-17 2.88E-18 4.94E-19 3.74E-19 2.25E-17 1.98E-17 4.75E-19 0.00E+00 0.00E+00 4.30E-19
  827.0 4.82E-17 5.83E-18 1.02E-18 3.80E-19 2.26E-17 1.71E-17 0.00E+00 0.00E+00 0.00E+00 1.30E-18
  833.0 4.85E-17 6.69E-18 1.18E-18 3.81E-19 2.32E-17 1.56E-17 0.00E+00 0.00E+00 0.00E+00 1.50E-18
  840.0 4.75E-17 8.22E-18 1.45E-18 3.72E-19 2.25E-17 1.31E-17 0.00E+00 0.00E+00 0.00E+00 1.88E-18
  843.8 5.20E-17 9.78E-18 1.72E-18 4.06E-19 2.46E-17 1.33E-17 0.00E+00 0.00E+00 0.00E+00 2.24E-18
  850.6 5.10E-17 1.10E-17 1.92E-18 3.97E-19 2.40E-17 1.12E-17 0.00E+00 0.00E+00 0.00E+00 2.53E-18
  858.3 5.12E-17 1.27E-17 2.27E-18 3.97E-19 2.36E-17 9.22E-18 0.00E+00 0.00E+00 0.00E+00 2.96E-18
  871.1 5.24E-17 1.65E-17 2.84E-18 4.04E-19 2.79E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.77E-18
  875.5 5.07E-17 1.64E-17 2.94E-18 3.90E-19 2.72E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.82E-18
  878.7 5.10E-17 1.82E-17 3.21E-18 3.91E-19 2.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.25E-18
  883.1 5.10E-17 1.82E-17 3.23E-18 3.90E-19 2.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.24E-18
  887.4 5.20E-17 1.97E-17 3.40E-18 3.97E-19 2.39E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.57E-18
  906.0 4.95E-17 2.27E-17 4.01E-18 3.74E-19 1.72E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.22E-18
  916.0 4.65E-17 2.32E-17 4.14E-18 3.50E-19 1.35E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.32E-18
  919.8 5.17E-17 2.66E-17 4.65E-18 3.88E-19 1.40E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.07E-18
  932.1 5.20E-17 2.97E-17 5.20E-18 3.88E-19 9.93E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.74E-18
  945.0 5.46E-17 3.82E-17 6.83E-18 4.05E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.15E-18
  951.9 5.60E-17 3.93E-17 6.86E-18 4.13E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.44E-18
  954.8 5.60E-17 3.93E-17 6.80E-18 4.13E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.47E-18
  955.5 5.60E-17 3.93E-17 6.78E-18 4.13E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.47E-18
  958.5 6.00E-17 4.22E-17 7.20E-18 4.41E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.02E-17
  961.5 5.60E-17 3.94E-17 6.66E-18 4.11E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.52E-18
